Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
53.3,0,0,1229.80795474321758,164.419290245199704,-68.9106184624432103,-78.319008145653612,355.776773682092312
53.4,0,0,1211.46284232287871,164.897428425698081,-69.6926496896117271,-78.01742240858988,356.576499826055283
53.5,0,0,1193.08077134518771,165.373366963335116,-70.1816526648814119,-77.8927950334086319,357.077233377064772
53.6,0,0,1174.66212425432786,165.847099994511609,-70.3802710712850654,-77.9529579255510185,357.281071372071324
53.7,0,0,1156.20722212296778,166.318623701947587,-70.2737287362386525,-78.1953500487878443,357.172905337322788
53.8,0,0,1137.71633075962404,166.787935738505155,-69.8338035807075954,-78.6073246102261152,356.724542218541046
53.9,0,0,1119.18966909549431,167.255034309295979,-69.0231685155435031,-79.1668894176132767,355.899159571344967
54,0,0,1100.6274181632682,167.719917766044318,-67.8003266198456771,-79.8438812625783214,354.656270990164273
54.1,0,0,1082.02972958964597,168.182584315652718,-66.1261050880648042,-80.6015910265526969,352.958146948406409
54.2,0,0,1063.39673329948414,168.64303204025407,-63.9737032068633837,-81.3988615119696135,350.779705591073196
54.3,0,0,1044.72854489921565,169.101259112732834,-61.3454191059111835,-82.1926715757714561,348.125045170333919
54.4,0,0,1026.02527360569911,169.557264060553081,-58.2993235208282385,-82.9411911060563511,345.053938860355345
54.5,0,0,1007.28703161297642,170.011045920704248,-54.9855519256772283,-83.6071769528490734,341.717999859319548
54.6,0,0,988.513945260279343,170.462604169317672,-51.6808524484167506,-84.1612489903398711,338.395163987229807
54.7,0,0,969.706167896584589,170.91193838597502,-48.7929549919562078,-84.5840044527541863,335.49404166141511
54.8,0,0,950.863893121266074,171.359047707455517,-46.7995416691479562,-84.8655691818506881,333.492895925131052
54.9,0,0,931.987366954407207,171.803930199582737,-46.1143714407874228,-85.0020809613523909,332.805780679729537
55,0,0,913.076896885134488,172.246582316244513,-46.9303344873476007,-84.9910175333204165,333.625608154868928
55.1,0,0,894.132856249506403,172.686998597980818,-49.1275557908464577,-84.8291324438320089,335.832268489801777
