Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
-3.330443793,-3.330443793,0,4.709958781,236,
-3.33357465,-3.33357465,0,4.714386481,237,
-3.336695248,-3.336695248,0,4.718799674,238,
-3.339805665,-3.339805665,0,4.723198468,239,
-3.342905977,-3.342905977,0,4.72758297,240,
-3.345996257,-3.345996257,0,4.731953286,241,
-3.34907658,-3.34907658,0,4.73630952,242,
-3.352147019,-3.352147019,0,4.740651777,243,
-3.355207645,-3.355207645,0,4.744980157,244,
-3.358258531,-3.358258531,0,4.749294761,245,
-3.361299748,-3.361299748,0,4.75359569,246,
-3.364331364,-3.364331364,0,4.757883043,247,
-3.367353448,-3.367353448,0,4.762156916,248,
-3.37036607,-3.37036607,0,4.766417406,249,
-3.373369296,-3.373369296,0,4.770664609,250,
-3.376363193,-3.376363193,0,4.774898619,251,
-3.379347827,-3.379347827,0,4.779119529,252,
-3.382323264,-3.382323264,0,4.783327432,253,
-3.385289567,-3.385289567,0,4.787522418,254,
-3.388246801,-3.388246801,0,4.791704579,255,
-3.391195029,-3.391195029,0,4.795874003,256,
-3.394134313,-3.394134313,0,4.800030778,257,
-3.397064715,-3.397064715,0,4.804174993,258,
-3.399986297,-3.399986297,0,4.808306733,259,
-3.402899118,-3.402899118,0,4.812426084,260,
-3.405803238,-3.405803238,0,4.81653313,261,
-3.408698717,-3.408698717,0,4.820627956,262,
-3.411585613,-3.411585613,0,4.824710643,263,
-3.414463984,-3.414463984,0,4.828781275,264,
-3.417333888,-3.417333888,0,4.832839932,265,
-3.420195381,-3.420195381,0,4.836886694,266,
-3.423048519,-3.423048519,0,4.84092164,267,
-3.425893358,-3.425893358,0,4.84494485,268,
-3.428729952,-3.428729952,0,4.8489564,269,
-3.431558357,-3.431558357,0,4.852956369,270,
-3.434378626,-3.434378626,0,4.856944831,271,
-3.437190812,-3.437190812,0,4.860921863,272,
-3.439994968,-3.439994968,0,4.864887539,273,
-3.442791147,-3.442791147,0,4.868841932,274,
-3.445579399,-3.445579399,0,4.872785117,275,
-3.448359777,-3.448359777,0,4.876717164,276,
-3.45113233,-3.45113233,0,4.880638147,277,
-3.45389711,-3.45389711,0,4.884548136,278,
-3.456654165,-3.456654165,0,4.8884472,279,
-3.459403544,-3.459403544,0,4.89233541,280,
-3.462145298,-3.462145298,0,4.896212835,281,
-3.464879472,-3.464879472,0,4.900079542,282,
-3.467606116,-3.467606116,0,4.903935599,283,
-3.470325277,-3.470325277,0,4.907781073,284,
-3.473037001,-3.473037001,0,4.911616029,285,
-3.475741334,-3.475741334,0,4.915440534,286,
-3.478438324,-3.478438324,0,4.919254653,287,
-3.481128014,-3.481128014,0,4.923058449,288,
-3.48381045,-3.48381045,0,4.926851987,289,
-3.486485676,-3.486485676,0,4.930635328,290,
-3.489153737,-3.489153737,0,4.934408537,291,
-3.491814677,-3.491814677,0,4.938171673,292,
-3.494468538,-3.494468538,0,4.9419248,293,
-3.497115364,-3.497115364,0,4.945667977,294,
-3.499755197,-3.499755197,0,4.949401264,295,
-3.502388079,-3.502388079,0,4.953124722,296,
-3.505014052,-3.505014052,0,4.956838408,297,
-3.507633156,-3.507633156,0,4.960542382,298,
-3.510245434,-3.510245434,0,4.964236701,299,
-3.512850926,-3.512850926,0,4.967921422,300,
-3.515449671,-3.515449671,0,4.971596603,301,
-3.51804171,-3.51804171,0,4.9752623,302,
-3.520627082,-3.520627082,0,4.978918568,303,
-3.523205826,-3.523205826,0,4.982565462,304,
-3.525777981,-3.525777981,0,4.986203038,305,
-3.528343584,-3.528343584,0,4.98983135,306,
-3.530902675,-3.530902675,0,4.993450451,307,
-3.533455291,-3.533455291,0,4.997060395,308,
-3.536001469,-3.536001469,0,5.000661234,309,
-3.538541246,-3.538541246,0,5.004253021,310,
-3.541074658,-3.541074658,0,5.007835807,311,
-3.543601743,-3.543601743,0,5.011409645,312,
-3.546122536,-3.546122536,0,5.014974584,313,
-3.548637073,-3.548637073,0,5.018530676,314,
-3.551145389,-3.551145389,0,5.022077971,315,
-3.553647519,-3.553647519,0,5.025616517,316,
-3.556143498,-3.556143498,0,5.029146365,317,
-3.558633361,-3.558633361,0,5.032667562,318,
-3.561117141,-3.561117141,0,5.036180158,319,
-3.563594873,-3.563594873,0,5.0396842,320,
-3.566066589,-3.566066589,0,5.043179735,321,
-3.568532324,-3.568532324,0,5.046666811,322,
-3.570992111,-3.570992111,0,5.050145474,323,
-3.573445981,-3.573445981,0,5.053615771,324,
-3.575893968,-3.575893968,0,5.057077747,325,
-3.578336103,-3.578336103,0,5.060531448,326,
-3.580772419,-3.580772419,0,5.063976919,327,
-3.583202947,-3.583202947,0,5.067414204,328,
-3.585627718,-3.585627718,0,5.070843348,329,
-3.588046763,-3.588046763,0,5.074264395,330,
-3.590460114,-3.590460114,0,5.077677389,331,
-3.592867801,-3.592867801,0,5.081082372,332,
-3.595269854,-3.595269854,0,5.084479387,333,
-3.597666303,-3.597666303,0,5.087868478,334,
-3.600057177,-3.600057177,0,5.091249685,335,
-3.602442508,-3.602442508,0,5.094623052,336,
-3.604822323,-3.604822323,0,5.097988619,337,
-3.607196652,-3.607196652,0,5.101346427,338,
-3.609565523,-3.609565523,0,5.104696517,339,
-3.611928966,-3.611928966,0,5.10803893,340,
-3.614287008,-3.614287008,0,5.111373705,341,
-3.616639678,-3.616639678,0,5.114700883,342,
-3.618987004,-3.618987004,0,5.118020503,343,
-3.621329013,-3.621329013,0,5.121332604,344,
-3.623665733,-3.623665733,0,5.124637225,345,
-3.625997191,-3.625997191,0,5.127934404,346,
-3.628323413,-3.628323413,0,5.13122418,347,
-3.630644428,-3.630644428,0,5.13450659,348,
-3.63296026,-3.63296026,0,5.137781672,349,
-3.635270938,-3.635270938,0,5.141049463,350,
-3.637576486,-3.637576486,0,5.144310001,351,
-3.639876931,-3.639876931,0,5.147563322,352,
-3.642172299,-3.642172299,0,5.150809462,353,
-3.644462615,-3.644462615,0,5.154048457,354,
-3.646747904,-3.646747904,0,5.157280344,355,
-3.649028192,-3.649028192,0,5.160505158,356,
-3.651303503,-3.651303503,0,5.163722934,357,
-3.653573862,-3.653573862,0,5.166933707,358,
-3.655839295,-3.655839295,0,5.170137513,359,
-3.658099824,-3.658099824,0,5.173334384,360,
-3.660355475,-3.660355475,0,5.176524357,361,
-3.662606272,-3.662606272,0,5.179707463,362,
-3.664852238,-3.664852238,0,5.182883738,363,
-3.667093396,-3.667093396,0,5.186053215,364,
-3.669329771,-3.669329771,0,5.189215927,365,
-3.671561385,-3.671561385,0,5.192371906,366,
-3.673788262,-3.673788262,0,5.195521186,367,
-3.676010425,-3.676010425,0,5.198663798,368,
-3.678227896,-3.678227896,0,5.201799776,369,
-3.680440698,-3.680440698,0,5.204929151,370,
-3.682648853,-3.682648853,0,5.208051954,371,
-3.684852384,-3.684852384,0,5.211168217,372,
-3.687051313,-3.687051313,0,5.214277971,373,
-3.689245661,-3.689245661,0,5.217381248,374,
-3.69143545,-3.69143545,0,5.220478078,375,
-3.693620702,-3.693620702,0,5.223568492,376,
-3.695801439,-3.695801439,0,5.226652519,377,
-3.697977681,-3.697977681,0,5.229730191,378,
-3.700149451,-3.700149451,0,5.232801536,379,
-3.702316767,-3.702316767,0,5.235866584,380,
-3.704479652,-3.704479652,0,5.238925366,381,
-3.706638127,-3.706638127,0,5.24197791,382,
-3.708792211,-3.708792211,0,5.245024245,383,
-3.710941925,-3.710941925,0,5.2480644,384,
-3.713087289,-3.713087289,0,5.251098403,385,
-3.715228324,-3.715228324,0,5.254126283,386,
-3.717365049,-3.717365049,0,5.257148068,387,
-3.719497484,-3.719497484,0,5.260163786,388,
-3.721625648,-3.721625648,0,5.263173466,389,
-3.723749562,-3.723749562,0,5.266177133,390,
-3.725869244,-3.725869244,0,5.269174816,391,
-3.727984714,-3.727984714,0,5.272166542,392,
-3.73009599,-3.73009599,0,5.275152338,393,
-3.732203092,-3.732203092,0,5.278132231,394,
-3.734306039,-3.734306039,0,5.281106247,395,
-3.736404849,-3.736404849,0,5.284074413,396,
-3.738499541,-3.738499541,0,5.287036754,397,
-3.740590134,-3.740590134,0,5.289993298,398,
-3.742676644,-3.742676644,0,5.29294407,399,
-3.744759092,-3.744759092,0,5.295889095,400,
-3.746837494,-3.746837494,0,5.298828399,401,
-3.748911868,-3.748911868,0,5.301762008,402,
-3.750982233,-3.750982233,0,5.304689947,403,
-3.753048607,-3.753048607,0,5.30761224,404,
-3.755111006,-3.755111006,0,5.310528912,405,
-3.757169448,-3.757169448,0,5.313439989,406,
-3.75922395,-3.75922395,0,5.316345494,407,
-3.76127453,-3.76127453,0,5.319245452,408,
-3.763321205,-3.763321205,0,5.322139887,409,
-3.765363991,-3.765363991,0,5.325028823,410,
-3.767402906,-3.767402906,0,5.327912284,411,
-3.769437966,-3.769437966,0,5.330790293,412,
-3.771469187,-3.771469187,0,5.333662875,413,
-3.773496587,-3.773496587,0,5.336530051,414,
-3.775520182,-3.775520182,0,5.339391847,415,
-3.777539988,-3.777539988,0,5.342248283,416,
-3.779556021,-3.779556021,0,5.345099384,417,
-3.781568297,-3.781568297,0,5.347945173,418,
-3.783576832,-3.783576832,0,5.350785671,419,
-3.785581643,-3.785581643,0,5.353620901,420,
-3.787582744,-3.787582744,0,5.356450885,421,
-3.789580152,-3.789580152,0,5.359275646,422,
-3.791573882,-3.791573882,0,5.362095206,423,
-3.793563949,-3.793563949,0,5.364909586,424,
-3.795550369,-3.795550369,0,5.367718808,425,
-3.797533157,-3.797533157,0,5.370522894,426,
-3.799512328,-3.799512328,0,5.373321865,427,
-3.801487898,-3.801487898,0,5.376115742,428,
-3.80345988,-3.80345988,0,5.378904547,429,
-3.805428291,-3.805428291,0,5.3816883,430,
-3.807393144,-3.807393144,0,5.384467022,431,
