Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,parachute_deploy_gain,Wind Speed,Mach,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
116.27,40.2484571804692,139.9844438434632,1950.1211711914211,-1.1224564709396887,0.0720402567103623,617.344956268168,-197.39451699553624,270.0923328229308,0.0,22.024163263619535,6.317303399330799,175.49468494685803,-25.613660284260288,271.3645109677432,245.34919900514697,1.0,6.292250234324154,0.0661929155839031,1.124765603933823,22.325822531542368,22.035479317700137,702.1604222821022
116.28,40.24845662027801,139.98444367648648,1949.900929713294,-0.8674755360414471,-0.0286439069916373,477.3764299960084,-299.1900096745884,401.8024477480696,0.0,22.023919879687245,6.317186541325737,-177.76494633326635,-40.26060352117903,259.1091740262997,245.34919930235225,1.0,6.292131530219308,0.0661920122178805,0.8679482797637642,22.214650230412065,22.019420505485915,691.9885293999854
116.29,40.248456060097126,139.9844435095128,1949.6806906684756,-0.6325779678683044,-0.1639066702299235,298.73416939902586,-372.4612936867083,490.7924292013596,0.0,22.02367650239332,6.317069673914795,-164.2802426409382,-52.68503016473256,240.69999981215176,245.34919959983645,1.0,6.292012827426041,0.0661911088788341,0.6534670537909293,22.07204962340597,21.997930137956537,684.7238332515335
116.3,40.24845549992653,139.98444334254222,1949.4604540592372,-0.4121339932902029,-0.3247831616081635,97.43956945887864,-412.4245363295696,533.1392578657438,0.0,22.023433131737495,6.316952797145579,-139.88821386293003,-60.21087915749318,211.68670348688843,245.34919989754263,1.0,6.29189412594542,0.0661902055667648,0.5247253674147264,21.906228719952665,21.972416585225744,681.0476753800928
116.31,40.248454939766226,139.9844431755747,1949.2402198810369,-0.1955674015456264,-0.5035132468114666,-111.0126522536582,-416.21311422560626,527.8352675296697,0.0,22.02318976771962,6.316835911065313,-109.44662881706162,-59.160931767193325,176.7054378502447,245.3492001955836,1.0,6.291775425775299,0.066189302281668,0.5401585079237432,21.724424707719788,21.94409910987671,681.298198340409
116.32,40.24845437961623,139.98444300861033,1949.0199881372807,0.0341425757798327,-0.6928521412656623,-311.3898042147216,-382.50701349684977,475.98930045563407,0.0,22.02294641033957,6.316719015721011,-87.7024085617887,-50.20727929492107,150.29803675867265,245.349200493878,1.0,6.2916567269179575,0.0661883990235458,0.6936928342687584,21.53380625412942,21.914116102905815,685.4495165155532
116.33,40.24845381947651,139.98444284164898,1948.7997588291048,0.30761121308462,-0.8836371673617,-488.14445116920893,-311.7004551814907,380.74371993555087,0.0,22.02270305959707,6.316602111159694,-76.11078431193936,-37.155432573018395,133.68929065319455,245.34920079239657,1.0,6.29153802937166,0.0661874957923979,0.9356451248601144,21.344398140880127,21.883907160173443,693.1146797161332
116.34,40.2484532593471,139.98444267469074,1948.5795319531023,0.6876811742637627,-1.0581256075385457,-625.202908701418,-206.6233378519948,247.8742437542139,0.0,22.02245971549195,6.316485197427992,-70.40195668780956,-22.241808900783298,122.3004557078097,245.34920109122424,1.0,6.291419333137877,0.0661865925882209,1.2619355903481118,21.17757143628752,21.85625918146445,703.5719732270016
116.35,40.248452699228,139.9844425077356,1948.359307509273,1.278669269485598,-1.1725954946613744,-706.717113517818,-73.59440661563289,86.75808702293621,0.0,22.022216378024087,6.316368274572292,-68.12060506551637,-6.389797943537085,113.1968830609034,245.3492013903623,1.0,6.291300638215267,0.0661856894110139,1.734862245876425,21.08869681978615,21.83803836601203,715.8157450684798
116.36,40.248452139119195,139.98444234078352,1948.139085501024,2.013257932159141,-1.1563394350086669,-719.1214057687935,76.66021422466636,-88.85540406629633,0.0,22.021973047193153,6.316251342638987,-68.38438230363452,9.940867769243592,104.65377265125608,245.34920168972516,1.0,6.291181944603575,0.0661847862607785,2.3215895472084656,21.15942925289658,21.84034800370072,728.6341108619896
