time,thrust
1.175,1236.131226
1.176,1234.265015
1.177,1226.17749
1.178,1218.71228
1.179,1217.468018
1.18,1256.038818
1.181,1267.858887
1.182,1268.480957
1.183,1247.329224
1.184,1234.887085
1.185,1242.352417
1.186,1252.306152
1.187,1272.213623
1.188,1264.126221
1.189,1245.462891
1.19,1257.905151
1.191,1258.527222
1.192,1257.905151
1.193,1254.794556
1.194,1269.103027
1.195,1281.545288
1.196,1264.126221
1.197,1253.550293
1.198,1263.50415
1.199,1284.655762
1.2,1269.103027
1.201,1290.876953
1.202,1256.038818
1.203,1280.301025
1.204,1282.167358
1.205,1284.655762
1.206,1280.301025
1.207,1277.190552
1.208,1292.121094
1.209,1284.655762
1.21,1277.190552
1.211,1289.01062
1.212,1282.789429
1.213,1300.830688
1.214,1289.63269
1.215,1276.568359
1.216,1285.900024
1.217,1289.63269
1.218,1293.365356
1.219,1289.63269
1.22,1297.098022
1.221,1314.51709
1.222,1311.406494
1.223,1290.876953
1.224,1297.720093
1.225,1300.830688
1.226,1302.697021
1.227,1293.365356
1.228,1291.499023
1.229,1330.069824
1.23,1310.784424
1.231,1318.249756
1.232,1305.807495
1.233,1321.982422
1.234,1318.249756
1.235,1309.540161
1.236,1313.272827
1.237,1323.848755
1.238,1307.673828
1.239,1330.069824
1.24,1317.005493
1.241,1335.668823
1.242,1333.180298
1.243,1331.936157
1.244,1335.046631
1.245,1329.447632
1.246,1331.313965
1.247,1354.954224
1.248,1319.493896
1.249,1324.470825
1.25,1336.290894
1.251,1311.406494
1.252,1347.488892
1.253,1337.535156
1.254,1330.069824
1.255,1333.80249
1.256,1341.889893
1.257,1343.134155
1.258,1347.488892
1.259,1335.046631
1.26,1330.691895
1.261,1338.157227
1.262,1323.226563
1.263,1343.134155
1.264,1349.355225
1.265,1326.959229
1.266,1337.535156
1.267,1335.046631
1.268,1325.715088
1.269,1320.116089
1.27,1340.02356
1.271,1340.02356
1.272,1324.470825
1.273,1321.360229
1.274,1325.715088
1.275,1343.134155
1.276,1330.069824
1.277,1338.779297
1.278,1338.157227
1.279,1305.185425
1.28,1339.401489
1.281,1343.134155
1.282,1352.465698
1.283,1345.622559
1.284,1337.535156
1.285,1354.954224
1.286,1319.493896
1.287,1351.221558
1.288,1359.30896
1.289,1352.465698
1.29,1356.198364
1.291,1333.180298
1.292,1352.465698
1.293,1349.977295
1.294,1338.779297
1.295,1356.198364
1.296,1360.553101
1.297,1351.843628
1.298,1350.599365
1.299,1350.599365
1.3,1353.709961
1.301,1356.198364
1.302,1363.041626
1.303,1365.530029
1.304,1356.198364
1.305,1366.774292
1.306,1345.000366
1.307,1367.396362
1.308,1360.553101
1.309,1372.995361
1.31,1367.396362
1.311,1352.465698
1.312,1351.221558
1.313,1340.64563
1.314,1350.599365
1.315,1358.064697
1.316,1372.373291
1.317,1358.686768
1.318,1369.262695
1.319,1382.327026
